room_id,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay
4897143,93,4.5,4,1,,147,
4670847,115,4.5,4,1,,137,
13636171,xxx,0,2,1,,41,
18948580,xxx,0,3,1,,42,
4347535,xxx,0,1,1,,400,
6750199,4,5,2,1,,145,
11461771,8,4,14,1,,138,
259622,125,4.5,4,1,,90,
785901,78,4.5,4,1,,90,
786506,83,4.5,4,1,,90,
7343277,47,5,4,1,,95,
7067087,59,4.5,4,1,,90,
7067681,83,4.5,4,1,,90,
4902365,87,4.5,4,1,,90,
12857222,26,4.5,4,1,,90,
4518031,158,4.5,4,1,,90,
1711403,90,5,4,1,,95,
4519757,129,4.5,4,1,,90,
2846662,1,0,3,1,,250,
7528301,1,0,1,1,,250,
14500176,1,0,2,1,,300,
10747952,xxx,0,2,1,,200,
11080673,xxx,0,2,1,,200,
13558325,xxx,0,2,1,,200,
6557381,xxx,0,2,1,,150,
8404771,xxx,0,1,1,,150,
18961274,xxx,0,1,1,,150,
15605179,xxx,0,1,1,,150,
3821508,16,5,3,1,,159,
4170452,1,0,1,1,,150,
4081570,xxx,0,1,1,,175,
10839934,xxx,0,2,1,,160,
9375363,4,4,5,1,,169,
8306266,14,5,1,1,,155,
12433576,4,5,2,1,,139,
6910758,186,5,2,1,,130,
815711,3,5,1,1,,100,
9529057,xxx,0,1,1,,105,
7419076,xxx,0,1,1,,120,
18794629,3,5,3,1,,115,
14610133,5,5,1,1,,80,
11297447,45,5,2,1,,80,
8598745,xxx,0,1,1,,85,
8135263,xxx,0,1,1,,100,
11638464,1,0,1,1,,100,
16464767,1,0,1,1,,99,
11528376,xxx,0,1,1,,100,
8504147,xxx,0,2,1,,100,
8037572,87,4.5,2,1,,81,
19716643,xxx,0,1,1,,99,
7181819,36,4.5,1,1,,90,
12205354,82,4.5,2,1,,89,
18976753,9,5,2,1,,100,
16606328,26,4.5,2,1,,85,
18361820,xxx,0,1,1,,80,
8256165,xxx,0,1,1,,70,
13191340,1,0,1,1,,80,
14040855,9,5,1,1,,69,
19104498,xxx,0,1,1,,80,
7844269,xxx,0,1,1,,75,
3139003,xxx,0,1,1,,75,
1566931,22,5,1,1,,75,
7807401,xxx,0,1,1,,75,
12270642,29,4.5,2,1,,80,
17894683,xxx,0,1,1,,70,
6433637,3,4.5,1,1,,75,
8377605,8,4.5,14,1,,69,
8277136,1,0,1,1,,72,
14383718,3,5,1,1,,75,
7902889,104,5,1,1,,75,
12857179,17,4.5,4,1,,45,
786492,76,4.5,4,1,,45,
10070717,20,4.5,1,1,,45,
229240,204,4.5,4,1,,45,
12853799,25,4.5,4,1,,45,
12857011,13,4.5,4,1,,45,
12857087,14,4.5,4,1,,45,
4464347,164,4.5,4,1,,42,
10070425,23,4.5,1,1,,45,
241235,199,4.5,4,1,,45,
5196399,128,5,1,1,,49,
4890230,105,4.5,4,1,,47,
10070413,15,4.5,1,1,,45,
15009918,14,4.5,1,1,,45,
72444,198,4.5,4,1,,45,
4519780,130,4.5,4,1,,43,
8763366,87,5,1,1,,49,
12274606,xxx,0,1,1,,60,
12253023,xxx,0,1,1,,60,
14011529,1,0,2,1,,50,
17846929,1,0,4,1,,55,
7746463,3,5,1,1,,49,
10888070,4,5,1,1,,60,
17371171,9,5,1,1,,52,
6822747,71,5,2,1,,55,
15204367,36,5,1,1,,47,
10491563,5,5,1,1,,42,
259621,98,4.5,4,1,,45,
18567322,xxx,0,1,1,,50,
18737881,xxx,0,1,1,,45,
13342697,xxx,0,1,1,,50,
19644702,xxx,0,2,1,,54,
19034252,xxx,0,1,1,,50,
19034998,3,5,1,1,,45,
10070760,33,4.5,1,1,,45,
17478285,31,5,2,1,,59,
15422181,67,4.5,1,1,,50,
70753,226,4.5,4,1,,45,
19548605,1,0,1,1,,50,
17543814,21,4.5,1,1,,42,
4902444,94,4.5,4,1,,43,
15828423,29,5,1,1,,47,
8763407,96,5,1,1,,49,
19511968,2,0,1,1,,53,
1408281,257,5,1,1,,51,
435390,6,5,1,1,,29,
435391,5,5,1,1,,29,
15253799,xxx,0,1,1,,34,
14756524,xxx,0,1,1,,34,
435389,5,5,1,1,,29,
19057720,1,0,1,1,,28,
18020492,xxx,0,1,1,,25,
12525238,15,5,1,1,,40,
18327502,xxx,0,1,1,,21,
7856089,xxx,0,1,1,,38,
16182225,2,0,2,1,,38,
11037074,xxx,0,1,1,,25,
13636310,xxx,0,1,1,,10,
16125990,xxx,0,1,1,,35,
18428776,xxx,0,1,1,,28,
19781990,xxx,0,1,1,,40,
16207317,1,0,2,1,,40,
15758145,2,0,1,1,,26,
16288478,12,4.5,1,1,,40,
15633281,23,5,2,1,,34,
10852302,xxx,0,6,3,,1666,
10547198,xxx,0,8,3,,2000,
10929043,xxx,0,4,2,,2500,
